s,L,o_s,o_r,g,G
3233,1.470980000000000e-04,4.244344444444438e-05,4.160411111111109e-05,1.300337103673227e-04,1.218696520684701e-10
3265,1.470980000000000e-04,4.256033333333335e-05,4.181488888888888e-05,1.300337103673227e-04,1.218696520684701e-10
3297,1.470980000000000e-04,4.237855555555553e-05,4.197933333333333e-05,1.300337103673227e-04,1.218696520684701e-10
3329,1.470980000000000e-04,4.250799999999997e-05,4.216655555555555e-05,1.300337103673227e-04,1.218696520684701e-10
3361,1.470980000000000e-04,4.268000000000007e-05,4.190911111111113e-05,1.300337103673227e-04,1.218696520684701e-10
3393,1.470980000000000e-04,4.285900000000006e-05,4.155355555555552e-05,1.300337103673227e-04,1.218696520684701e-10
3425,1.470980000000000e-04,4.264366666666673e-05,4.186266666666669e-05,1.300337103673227e-04,1.218696520684701e-10
3457,1.470980000000000e-04,4.268066666666667e-05,4.189011111111110e-05,1.300337103673227e-04,1.218696520684701e-10
3489,1.470980000000000e-04,4.361155555555552e-05,4.190988888888888e-05,1.300337103673227e-04,1.218696520684701e-10
3521,1.470980000000000e-04,4.271877777777771e-05,4.180455555555553e-05,1.300337103673227e-04,1.218696520684701e-10
3553,1.470980000000000e-04,4.326044444444448e-05,4.135744444444446e-05,1.300337103673227e-04,1.218696520684701e-10
3585,1.470980000000000e-04,4.313388888888890e-05,4.200788888888892e-05,1.300337103673227e-04,1.218696520684701e-10
3617,1.470980000000000e-04,4.316322222222229e-05,4.234066666666671e-05,1.300337103673227e-04,1.218696520684701e-10
3649,1.470980000000000e-04,4.247755555555555e-05,4.163966666666673e-05,1.300337103673227e-04,1.218696520684701e-10
3681,1.470980000000000e-04,4.257133333333330e-05,4.186033333333329e-05,1.300337103673227e-04,1.218696520684701e-10
3713,1.470980000000000e-04,4.219966666666670e-05,4.153999999999998e-05,1.300337103673227e-04,1.218696520684701e-10
3745,1.470980000000000e-04,4.214711111111108e-05,4.181944444444449e-05,1.300337103673227e-04,1.218696520684701e-10
3777,1.470980000000000e-04,4.243866666666668e-05,4.178711111111109e-05,1.300337103673227e-04,1.218696520684701e-10
3809,1.470980000000000e-04,4.231155555555559e-05,4.175088888888893e-05,1.300337103673227e-04,1.218696520684701e-10
3841,1.470980000000000e-04,4.226155555555555e-05,4.194800000000003e-05,1.300337103673227e-04,1.218696520684701e-10
3873,1.470980000000000e-04,4.193355555555550e-05,4.173044444444444e-05,1.300337103673227e-04,1.218696520684701e-10
3905,1.470980000000000e-04,4.123066666666668e-05,4.160077777777777e-05,1.300337103673227e-04,1.218696520684701e-10
3937,1.470980000000000e-04,4.265966666666669e-05,4.138633333333338e-05,1.300337103673227e-04,1.218696520684701e-10
3969,1.470980000000000e-04,4.366888888888885e-05,4.079822222222217e-05,1.300337103673227e-04,1.218696520684701e-10
4001,1.470980000000000e-04,4.193644444444442e-05,4.223811111111111e-05,1.300337103673227e-04,1.218696520684701e-10
4033,1.470980000000000e-04,4.271533333333335e-05,4.211855555555556e-05,1.300337103673227e-04,1.218696520684701e-10
4065,1.470980000000000e-04,4.288522222222216e-05,4.214499999999999e-05,1.300337103673227e-04,1.218696520684701e-10
4097,1.470980000000000e-04,4.263322222222221e-05,4.162211111111115e-05,1.300337103673227e-04,1.218696520684701e-10
4129,1.470980000000000e-04,4.308511111111110e-05,4.153933333333339e-05,1.300337103673227e-04,1.218696520684701e-10
4161,1.470980000000000e-04,4.349477777777785e-05,4.189233333333336e-05,1.300337103673227e-04,1.218696520684701e-10
4193,1.470980000000000e-04,4.274177777777776e-05,4.199344444444444e-05,1.300337103673227e-04,1.218696520684701e-10
4225,1.470980000000000e-04,4.263433333333337e-05,4.185111111111111e-05,1.300337103673227e-04,1.218696520684701e-10
