s,L,o_s,o_r,g,G
1793,1.470980000000000e-05,4.296055555555559e-06,4.173622222222226e-06,1.300337103673227e-05,1.218696520684701e-11
1825,1.470980000000000e-05,4.326122222222230e-06,4.158100000000005e-06,1.300337103673227e-05,1.218696520684701e-11
1857,1.470980000000000e-05,4.332755555555558e-06,4.187633333333332e-06,1.300337103673227e-05,1.218696520684701e-11
1889,1.470980000000000e-05,4.334000000000003e-06,4.196611111111112e-06,1.300337103673227e-05,1.218696520684701e-11
1921,1.470980000000000e-05,4.282544444444441e-06,4.233166666666664e-06,1.300337103673227e-05,1.218696520684701e-11
1953,1.470980000000000e-05,4.348400000000001e-06,4.163755555555556e-06,1.300337103673227e-05,1.218696520684701e-11
1985,1.470980000000000e-05,4.281933333333337e-06,4.179433333333337e-06,1.300337103673227e-05,1.218696520684701e-11
2017,1.470980000000000e-05,4.356711111111107e-06,4.147822222222222e-06,1.300337103673227e-05,1.218696520684701e-11
2049,1.470980000000000e-05,4.312955555555562e-06,4.187711111111113e-06,1.300337103673227e-05,1.218696520684701e-11
2081,1.470980000000000e-05,4.117511111111111e-06,4.169355555555555e-06,1.300337103673227e-05,1.218696520684701e-11
2113,1.470980000000000e-05,4.241855555555555e-06,4.174955555555556e-06,1.300337103673227e-05,1.218696520684701e-11
2145,1.470980000000000e-05,4.264777777777776e-06,4.179955555555551e-06,1.300337103673227e-05,1.218696520684701e-11
2177,1.470980000000000e-05,4.264266666666659e-06,4.168266666666663e-06,1.300337103673227e-05,1.218696520684701e-11
2209,1.470980000000000e-05,4.274977777777771e-06,4.180433333333328e-06,1.300337103673227e-05,1.218696520684701e-11
2241,1.470980000000000e-05,4.273855555555558e-06,4.216866666666666e-06,1.300337103673227e-05,1.218696520684701e-11
2273,1.470980000000000e-05,4.265344444444444e-06,4.173466666666666e-06,1.300337103673227e-05,1.218696520684701e-11
2305,1.470980000000000e-05,4.200611111111111e-06,4.167177777777776e-06,1.300337103673227e-05,1.218696520684701e-11
2337,1.470980000000000e-05,4.316455555555556e-06,4.163511111111118e-06,1.300337103673227e-05,1.218696520684701e-11
2369,1.470980000000000e-05,4.264166666666666e-06,4.178155555555551e-06,1.300337103673227e-05,1.218696520684701e-11
2401,1.470980000000000e-05,4.258344444444435e-06,4.184633333333333e-06,1.300337103673227e-05,1.218696520684701e-11
2433,1.470980000000000e-05,4.248866666666666e-06,4.174344444444447e-06,1.300337103673227e-05,1.218696520684701e-11
2465,1.470980000000000e-05,4.272799999999997e-06,4.167977777777772e-06,1.300337103673227e-05,1.218696520684701e-11
2497,1.470980000000000e-05,4.236888888888891e-06,4.177811111111116e-06,1.300337103673227e-05,1.218696520684701e-11
2529,1.470980000000000e-05,4.247022222222220e-06,4.179711111111107e-06,1.300337103673227e-05,1.218696520684701e-11
2561,1.470980000000000e-05,4.255611111111109e-06,4.193355555555554e-06,1.300337103673227e-05,1.218696520684701e-11
2593,1.470980000000000e-05,4.246788888888893e-06,4.209222222222222e-06,1.300337103673227e-05,1.218696520684701e-11
2625,1.470980000000000e-05,4.276755555555557e-06,4.201166666666666e-06,1.300337103673227e-05,1.218696520684701e-11
2657,1.470980000000000e-05,4.257477777777780e-06,4.176544444444445e-06,1.300337103673227e-05,1.218696520684701e-11
2689,1.470980000000000e-05,4.268911111111118e-06,4.217033333333329e-06,1.300337103673227e-05,1.218696520684701e-11
2721,1.470980000000000e-05,4.239955555555551e-06,4.202199999999997e-06,1.300337103673227e-05,1.218696520684701e-11
2753,1.470980000000000e-05,4.300322222222215e-06,4.209611111111106e-06,1.300337103673227e-05,1.218696520684701e-11
2785,1.470980000000000e-05,4.286188888888891e-06,4.109133333333331e-06,1.300337103673227e-05,1.218696520684701e-11
2817,1.470980000000000e-05,4.262166666666661e-06,4.166144444444440e-06,1.300337103673227e-05,1.218696520684701e-11
2849,1.470980000000000e-05,4.170622222222221e-06,4.248833333333331e-06,1.300337103673227e-05,1.218696520684701e-11
2881,1.470980000000000e-05,4.183844444444448e-06,4.203500000000000e-06,1.300337103673227e-05,1.218696520684701e-11
2913,1.470980000000000e-05,4.248622222222223e-06,4.181088888888891e-06,1.300337103673227e-05,1.218696520684701e-11
2945,1.470980000000000e-05,4.240377777777776e-06,4.185477777777776e-06,1.300337103673227e-05,1.218696520684701e-11
2977,1.470980000000000e-05,4.248200000000004e-06,4.169355555555555e-06,1.300337103673227e-05,1.218696520684701e-11
3009,1.470980000000000e-05,4.317344444444442e-06,4.259655555555551e-06,1.300337103673227e-05,1.218696520684701e-11
3041,1.470980000000000e-05,4.239788888888891e-06,4.218411111111112e-06,1.300337103673227e-05,1.218696520684701e-11
3073,1.470980000000000e-05,4.241333333333330e-06,4.175411111111110e-06,1.300337103673227e-05,1.218696520684701e-11
3105,1.470980000000000e-05,4.218933333333335e-06,4.155800000000003e-06,1.300337103673227e-05,1.218696520684701e-11
3137,1.470980000000000e-05,4.242033333333331e-06,4.170355555555553e-06,1.300337103673227e-05,1.218696520684701e-11
3169,1.470980000000000e-05,4.258900000000001e-06,4.167522222222218e-06,1.300337103673227e-05,1.218696520684701e-11
3201,1.470980000000000e-05,4.220955555555557e-06,4.185766666666661e-06,1.300337103673227e-05,1.218696520684701e-11
3233,1.470980000000000e-05,4.244344444444438e-06,4.160411111111109e-06,1.300337103673227e-05,1.218696520684701e-11
3265,1.470980000000000e-05,4.256033333333335e-06,4.181488888888888e-06,1.300337103673227e-05,1.218696520684701e-11
3297,1.470980000000000e-05,4.237855555555553e-06,4.197933333333333e-06,1.300337103673227e-05,1.218696520684701e-11
3329,1.470980000000000e-05,4.250799999999997e-06,4.216655555555555e-06,1.300337103673227e-05,1.218696520684701e-11
3361,1.470980000000000e-05,4.268000000000007e-06,4.190911111111113e-06,1.300337103673227e-05,1.218696520684701e-11
3393,1.470980000000000e-05,4.285900000000006e-06,4.155355555555552e-06,1.300337103673227e-05,1.218696520684701e-11
3425,1.470980000000000e-05,4.264366666666673e-06,4.186266666666669e-06,1.300337103673227e-05,1.218696520684701e-11
3457,1.470980000000000e-05,4.268066666666667e-06,4.189011111111110e-06,1.300337103673227e-05,1.218696520684701e-11
3489,1.470980000000000e-05,4.361155555555552e-06,4.190988888888888e-06,1.300337103673227e-05,1.218696520684701e-11
3521,1.470980000000000e-05,4.271877777777771e-06,4.180455555555553e-06,1.300337103673227e-05,1.218696520684701e-11
3553,1.470980000000000e-05,4.326044444444448e-06,4.135744444444446e-06,1.300337103673227e-05,1.218696520684701e-11
3585,1.470980000000000e-05,4.313388888888890e-06,4.200788888888892e-06,1.300337103673227e-05,1.218696520684701e-11
3617,1.470980000000000e-05,4.316322222222229e-06,4.234066666666671e-06,1.300337103673227e-05,1.218696520684701e-11
3649,1.470980000000000e-05,4.247755555555555e-06,4.163966666666673e-06,1.300337103673227e-05,1.218696520684701e-11
3681,1.470980000000000e-05,4.257133333333330e-06,4.186033333333329e-06,1.300337103673227e-05,1.218696520684701e-11
3713,1.470980000000000e-05,4.219966666666670e-06,4.153999999999998e-06,1.300337103673227e-05,1.218696520684701e-11
3745,1.470980000000000e-05,4.214711111111108e-06,4.181944444444449e-06,1.300337103673227e-05,1.218696520684701e-11
3777,1.470980000000000e-05,4.243866666666668e-06,4.178711111111109e-06,1.300337103673227e-05,1.218696520684701e-11
3809,1.470980000000000e-05,4.231155555555559e-06,4.175088888888893e-06,1.300337103673227e-05,1.218696520684701e-11
3841,1.470980000000000e-05,4.226155555555555e-06,4.194800000000003e-06,1.300337103673227e-05,1.218696520684701e-11
3873,1.470980000000000e-05,4.193355555555550e-06,4.173044444444444e-06,1.300337103673227e-05,1.218696520684701e-11
3905,1.470980000000000e-05,4.123066666666668e-06,4.160077777777777e-06,1.300337103673227e-05,1.218696520684701e-11
3937,1.470980000000000e-05,4.265966666666669e-06,4.138633333333338e-06,1.300337103673227e-05,1.218696520684701e-11
3969,1.470980000000000e-05,4.366888888888885e-06,4.079822222222217e-06,1.300337103673227e-05,1.218696520684701e-11
4001,1.470980000000000e-05,4.193644444444442e-06,4.223811111111111e-06,1.300337103673227e-05,1.218696520684701e-11
4033,1.470980000000000e-05,4.271533333333335e-06,4.211855555555556e-06,1.300337103673227e-05,1.218696520684701e-11
4065,1.470980000000000e-05,4.288522222222216e-06,4.214499999999999e-06,1.300337103673227e-05,1.218696520684701e-11
4097,1.470980000000000e-05,4.263322222222221e-06,4.162211111111115e-06,1.300337103673227e-05,1.218696520684701e-11
4129,1.470980000000000e-05,4.308511111111110e-06,4.153933333333339e-06,1.300337103673227e-05,1.218696520684701e-11
4161,1.470980000000000e-05,4.349477777777785e-06,4.189233333333336e-06,1.300337103673227e-05,1.218696520684701e-11
4193,1.470980000000000e-05,4.274177777777776e-06,4.199344444444444e-06,1.300337103673227e-05,1.218696520684701e-11
4225,1.470980000000000e-05,4.263433333333337e-06,4.185111111111111e-06,1.300337103673227e-05,1.218696520684701e-11
4257,1.470980000000000e-05,4.299266666666675e-06,4.223188888888887e-06,1.300337103673227e-05,1.218696520684701e-11
4289,1.470980000000000e-05,4.302666666666669e-06,4.167166666666667e-06,1.300337103673227e-05,1.218696520684701e-11
4321,1.470980000000000e-05,4.309611111111112e-06,4.207077777777775e-06,1.300337103673227e-05,1.218696520684701e-11
4353,1.470980000000000e-05,4.291233333333337e-06,4.252899999999999e-06,1.300337103673227e-05,1.218696520684701e-11
4385,1.470980000000000e-05,4.284811111111112e-06,4.165466666666666e-06,1.300337103673227e-05,1.218696520684701e-11
4417,1.470980000000000e-05,4.287188888888893e-06,4.194755555555562e-06,1.300337103673227e-05,1.218696520684701e-11
4449,1.470980000000000e-05,4.281933333333324e-06,4.195888888888884e-06,1.300337103673227e-05,1.218696520684701e-11
4481,1.470980000000000e-05,4.249655555555559e-06,4.199222222222227e-06,1.300337103673227e-05,1.218696520684701e-11
4513,1.470980000000000e-05,4.263255555555561e-06,4.196999999999995e-06,1.300337103673227e-05,1.218696520684701e-11
4545,1.470980000000000e-05,4.248588888888890e-06,4.194455555555556e-06,1.300337103673227e-05,1.218696520684701e-11
4577,1.470980000000000e-05,4.247288888888887e-06,4.184499999999997e-06,1.300337103673227e-05,1.218696520684701e-11
4609,1.470980000000000e-05,4.262622222222220e-06,4.197922222222224e-06,1.300337103673227e-05,1.218696520684701e-11
4641,1.470980000000000e-05,4.282644444444441e-06,4.184600000000001e-06,1.300337103673227e-05,1.218696520684701e-11
4673,1.470980000000000e-05,4.248688888888890e-06,4.181955555555558e-06,1.300337103673227e-05,1.218696520684701e-11
4705,1.470980000000000e-05,4.254755555555563e-06,4.174811111111111e-06,1.300337103673227e-05,1.218696520684701e-11
4737,1.470980000000000e-05,4.229511111111106e-06,4.237877777777774e-06,1.300337103673227e-05,1.218696520684701e-11
4769,1.470980000000000e-05,4.271400000000008e-06,4.180855555555556e-06,1.300337103673227e-05,1.218696520684701e-11
4801,1.470980000000000e-05,4.247777777777772e-06,4.191611111111105e-06,1.300337103673227e-05,1.218696520684701e-11
4833,1.470980000000000e-05,4.259055555555559e-06,4.176377777777782e-06,1.300337103673227e-05,1.218696520684701e-11
4865,1.470980000000000e-05,4.314811111111110e-06,4.184466666666670e-06,1.300337103673227e-05,1.218696520684701e-11
4897,1.470980000000000e-05,4.312411111111105e-06,4.193588888888889e-06,1.300337103673227e-05,1.218696520684701e-11
4929,1.470980000000000e-05,4.328466666666664e-06,4.162566666666671e-06,1.300337103673227e-05,1.218696520684701e-11
4961,1.470980000000000e-05,4.286711111111110e-06,4.207377777777782e-06,1.300337103673227e-05,1.218696520684701e-11
4993,1.470980000000000e-05,4.294077777777779e-06,4.188711111111110e-06,1.300337103673227e-05,1.218696520684701e-11
5025,1.470980000000000e-05,4.268566666666662e-06,4.173866666666669e-06,1.300337103673227e-05,1.218696520684701e-11
5057,1.470980000000000e-05,4.376633333333335e-06,4.142122222222223e-06,1.300337103673227e-05,1.218696520684701e-11
5089,1.470980000000000e-05,4.278744444444439e-06,4.195077777777774e-06,1.300337103673227e-05,1.218696520684701e-11
5121,1.470980000000000e-05,4.225622222222220e-06,4.179988888888889e-06,1.300337103673227e-05,1.218696520684701e-11
5153,1.470980000000000e-05,4.208544444444448e-06,4.198599999999998e-06,1.300337103673227e-05,1.218696520684701e-11
5185,1.470980000000000e-05,4.226355555555555e-06,4.205344444444448e-06,1.300337103673227e-05,1.218696520684701e-11
5217,1.470980000000000e-05,4.211666666666666e-06,4.190777777777777e-06,1.300337103673227e-05,1.218696520684701e-11
5249,1.470980000000000e-05,4.232622222222215e-06,4.179222222222220e-06,1.300337103673227e-05,1.218696520684701e-11
5281,1.470980000000000e-05,4.197000000000001e-06,4.193555555555556e-06,1.300337103673227e-05,1.218696520684701e-11
5313,1.470980000000000e-05,4.250566666666670e-06,4.169222222222225e-06,1.300337103673227e-05,1.218696520684701e-11
5345,1.470980000000000e-05,4.236866666666667e-06,4.191966666666661e-06,1.300337103673227e-05,1.218696520684701e-11
5377,1.470980000000000e-05,4.264800000000000e-06,4.173677777777776e-06,1.300337103673227e-05,1.218696520684701e-11
5409,1.470980000000000e-05,4.249933333333335e-06,4.201988888888893e-06,1.300337103673227e-05,1.218696520684701e-11
5441,1.470980000000000e-05,4.266211111111105e-06,4.182111111111112e-06,1.300337103673227e-05,1.218696520684701e-11
5473,1.470980000000000e-05,4.247855555555548e-06,4.164488888888892e-06,1.300337103673227e-05,1.218696520684701e-11
5505,1.470980000000000e-05,4.285222222222222e-06,4.169633333333332e-06,1.300337103673227e-05,1.218696520684701e-11
5537,1.470980000000000e-05,4.250700000000003e-06,4.186633333333335e-06,1.300337103673227e-05,1.218696520684701e-11
5569,1.470980000000000e-05,4.293066666666661e-06,4.178088888888886e-06,1.300337103673227e-05,1.218696520684701e-11
5601,1.470980000000000e-05,4.280966666666668e-06,4.150977777777775e-06,1.300337103673227e-05,1.218696520684701e-11
5633,1.470980000000000e-05,4.274622222222219e-06,4.120766666666668e-06,1.300337103673227e-05,1.218696520684701e-11
5665,1.470980000000000e-05,4.264544444444442e-06,4.141688888888887e-06,1.300337103673227e-05,1.218696520684701e-11
5697,1.470980000000000e-05,4.237777777777777e-06,4.147944444444444e-06,1.300337103673227e-05,1.218696520684701e-11
5729,1.470980000000000e-05,4.128444444444442e-06,4.171511111111111e-06,1.300337103673227e-05,1.218696520684701e-11
5761,1.470980000000000e-05,4.321766666666663e-06,4.204566666666664e-06,1.300337103673227e-05,1.218696520684701e-11
5793,1.470980000000000e-05,4.315666666666663e-06,4.192155555555549e-06,1.300337103673227e-05,1.218696520684701e-11
5825,1.470980000000000e-05,4.356144444444446e-06,4.169622222222223e-06,1.300337103673227e-05,1.218696520684701e-11
5857,1.470980000000000e-05,4.224400000000000e-06,4.234944444444446e-06,1.300337103673227e-05,1.218696520684701e-11
5889,1.470980000000000e-05,4.241155555555554e-06,4.208899999999999e-06,1.300337103673227e-05,1.218696520684701e-11
5921,1.470980000000000e-05,4.247333333333329e-06,4.192300000000001e-06,1.300337103673227e-05,1.218696520684701e-11
5953,1.470980000000000e-05,4.256255555555560e-06,4.163977777777775e-06,1.300337103673227e-05,1.218696520684701e-11
5985,1.470980000000000e-05,4.261988888888892e-06,4.158388888888890e-06,1.300337103673227e-05,1.218696520684701e-11
6017,1.470980000000000e-05,4.250188888888893e-06,4.227033333333335e-06,1.300337103673227e-05,1.218696520684701e-11
6049,1.470980000000000e-05,4.272400000000003e-06,4.180733333333335e-06,1.300337103673227e-05,1.218696520684701e-11
6081,1.470980000000000e-05,4.246566666666668e-06,4.186088888888892e-06,1.300337103673227e-05,1.218696520684701e-11
6113,1.470980000000000e-05,4.259122222222219e-06,4.169966666666665e-06,1.300337103673227e-05,1.218696520684701e-11
6145,1.470980000000000e-05,4.210266666666663e-06,4.137211111111112e-06,1.300337103673227e-05,1.218696520684701e-11
6177,1.470980000000000e-05,4.304666666666666e-06,4.181155555555556e-06,1.300337103673227e-05,1.218696520684701e-11
6209,1.470980000000000e-05,4.289922222222226e-06,4.194311111111110e-06,1.300337103673227e-05,1.218696520684701e-11
6241,1.470980000000000e-05,4.268800000000002e-06,4.201611111111112e-06,1.300337103673227e-05,1.218696520684701e-11
6273,1.470980000000000e-05,4.285599999999998e-06,4.180411111111110e-06,1.300337103673227e-05,1.218696520684701e-11
6305,1.470980000000000e-05,4.304133333333332e-06,4.213033333333332e-06,1.300337103673227e-05,1.218696520684701e-11
6337,1.470980000000000e-05,4.260277777777779e-06,4.223133333333331e-06,1.300337103673227e-05,1.218696520684701e-11
6369,1.470980000000000e-05,4.277022222222224e-06,4.184344444444442e-06,1.300337103673227e-05,1.218696520684701e-11
6401,1.470980000000000e-05,4.329144444444448e-06,4.171066666666666e-06,1.300337103673227e-05,1.218696520684701e-11
