s,L,o_s,o_r,g,G
204801,1.539810000000000e-05,5.189644444444431e-06,3.747518707777778e-02,1.404071482903282e-05,1.207667585433873e-11
208897,1.539810000000000e-05,4.461122222222222e-06,3.755552114444444e-02,1.404071482903282e-05,1.207667585433873e-11
212993,1.539810000000000e-05,4.633155555555559e-06,3.763591555555555e-02,1.404071482903282e-05,1.207667585433873e-11
217089,1.539810000000000e-05,4.774122222222217e-06,3.771701346666667e-02,1.404071482903282e-05,1.207667585433873e-11
221185,1.539810000000000e-05,4.591233333333324e-06,3.779765982222223e-02,1.404071482903282e-05,1.207667585433873e-11
225281,1.539810000000000e-05,6.237722222222228e-06,3.787892298888889e-02,1.404071482903282e-05,1.207667585433873e-11
229377,1.539810000000000e-05,4.560722222222223e-06,3.796030431111111e-02,1.404071482903282e-05,1.207667585433873e-11
233473,1.539810000000000e-05,4.523088888888895e-06,3.804295860000000e-02,1.404071482903282e-05,1.207667585433873e-11
237569,1.539810000000000e-05,5.077766666666667e-06,3.812424965555555e-02,1.404071482903282e-05,1.207667585433873e-11
241665,1.539810000000000e-05,4.689355555555561e-06,3.820634764444444e-02,1.404071482903282e-05,1.207667585433873e-11
245761,1.539810000000000e-05,4.822111111111118e-06,3.828855177777778e-02,1.404071482903282e-05,1.207667585433873e-11
249857,1.539810000000000e-05,4.528200000000009e-06,3.837147643333334e-02,1.404071482903282e-05,1.207667585433873e-11
253953,1.539810000000000e-05,4.923055555555551e-06,3.845374601111111e-02,1.404071482903282e-05,1.207667585433873e-11
258049,1.539810000000000e-05,4.480466666666665e-06,3.853538971111112e-02,1.404071482903282e-05,1.207667585433873e-11
262145,1.539810000000000e-05,4.336011111111116e-06,3.861675134444445e-02,1.404071482903282e-05,1.207667585433873e-11
266241,1.539810000000000e-05,4.852911111111118e-06,3.870714927777778e-02,1.404071482903282e-05,1.207667585433873e-11
270337,1.539810000000000e-05,4.386144444444437e-06,3.879797524444444e-02,1.404071482903282e-05,1.207667585433873e-11
274433,1.539810000000000e-05,4.803366666666662e-06,3.888889058888889e-02,1.404071482903282e-05,1.207667585433873e-11
278529,1.539810000000000e-05,4.535744444444440e-06,3.898001102222222e-02,1.404071482903282e-05,1.207667585433873e-11
282625,1.539810000000000e-05,4.927911111111106e-06,3.907243271111111e-02,1.404071482903282e-05,1.207667585433873e-11
286721,1.539810000000000e-05,4.565066666666675e-06,3.916241800000000e-02,1.404071482903282e-05,1.207667585433873e-11
290817,1.539810000000000e-05,5.060633333333337e-06,3.925239010000001e-02,1.404071482903282e-05,1.207667585433873e-11
294913,1.539810000000000e-05,4.581022222222220e-06,3.934221328888889e-02,1.404071482903282e-05,1.207667585433873e-11
299009,1.539810000000000e-05,4.964122222222227e-06,3.943274903333333e-02,1.404071482903282e-05,1.207667585433873e-11
303105,1.539810000000000e-05,4.437777777777782e-06,3.952311750000000e-02,1.404071482903282e-05,1.207667585433873e-11
307201,1.539810000000000e-05,4.647177777777794e-06,3.961323421111110e-02,1.404071482903282e-05,1.207667585433873e-11
311297,1.539810000000000e-05,4.637722222222216e-06,3.970306430000000e-02,1.404071482903282e-05,1.207667585433873e-11
315393,1.539810000000000e-05,4.605222222222233e-06,3.980421457777777e-02,1.404071482903282e-05,1.207667585433873e-11
319489,1.539810000000000e-05,4.502155555555557e-06,3.989450300000000e-02,1.404071482903282e-05,1.207667585433873e-11
323585,1.539810000000000e-05,4.520499999999998e-06,3.999113575555555e-02,1.404071482903282e-05,1.207667585433873e-11
327681,1.539810000000000e-05,5.131733333333324e-06,4.008117233333333e-02,1.404071482903282e-05,1.207667585433873e-11
331777,1.539810000000000e-05,4.530111111111128e-06,4.017142175555555e-02,1.404071482903282e-05,1.207667585433873e-11
335873,1.539810000000000e-05,4.730988888888884e-06,4.026292863333333e-02,1.404071482903282e-05,1.207667585433873e-11
339969,1.539810000000000e-05,4.416611111111103e-06,4.035482148888889e-02,1.404071482903282e-05,1.207667585433873e-11
344065,1.539810000000000e-05,4.855188888888885e-06,4.044663940000000e-02,1.404071482903282e-05,1.207667585433873e-11
348161,1.539810000000000e-05,4.570477777777782e-06,4.053740030000000e-02,1.404071482903282e-05,1.207667585433873e-11
352257,1.539810000000000e-05,4.913222222222230e-06,4.062872344444444e-02,1.404071482903282e-05,1.207667585433873e-11
356353,1.539810000000000e-05,4.648977777777771e-06,4.071856386666667e-02,1.404071482903282e-05,1.207667585433873e-11
360449,1.539810000000000e-05,4.803855555555561e-06,4.080868666666667e-02,1.404071482903282e-05,1.207667585433873e-11
364545,1.539810000000000e-05,4.310733333333339e-06,4.089931440000000e-02,1.404071482903282e-05,1.207667585433873e-11
368641,1.539810000000000e-05,4.585422222222216e-06,4.098982505555555e-02,1.404071482903282e-05,1.207667585433873e-11
372737,1.539810000000000e-05,5.285722222222214e-06,4.108117708888889e-02,1.404071482903282e-05,1.207667585433873e-11
376833,1.539810000000000e-05,4.469577777777784e-06,4.117232054444445e-02,1.404071482903282e-05,1.207667585433873e-11
380929,1.539810000000000e-05,4.425588888888892e-06,4.126652734444444e-02,1.404071482903282e-05,1.207667585433873e-11
385025,1.539810000000000e-05,4.386988888888888e-06,4.135920013333333e-02,1.404071482903282e-05,1.207667585433873e-11
389121,1.539810000000000e-05,4.978266666666673e-06,4.145389294444444e-02,1.404071482903282e-05,1.207667585433873e-11
393217,1.539810000000000e-05,4.786855555555551e-06,4.154590918888889e-02,1.404071482903282e-05,1.207667585433873e-11
397313,1.539810000000000e-05,4.775255555555552e-06,4.163838861111110e-02,1.404071482903282e-05,1.207667585433873e-11
401409,1.539810000000000e-05,4.496844444444457e-06,4.172994342222222e-02,1.404071482903282e-05,1.207667585433873e-11
405505,1.539810000000000e-05,4.508222222222210e-06,4.182231127777777e-02,1.404071482903282e-05,1.207667585433873e-11
409601,1.539810000000000e-05,4.619511111111108e-06,4.191406751111111e-02,1.404071482903282e-05,1.207667585433873e-11
413697,1.539810000000000e-05,5.183433333333335e-06,4.200692585555556e-02,1.404071482903282e-05,1.207667585433873e-11
417793,1.539810000000000e-05,4.474211111111107e-06,4.209865412222222e-02,1.404071482903282e-05,1.207667585433873e-11
421889,1.539810000000000e-05,4.665799999999999e-06,4.219041375555556e-02,1.404071482903282e-05,1.207667585433873e-11
425985,1.539810000000000e-05,4.708033333333336e-06,4.228286014444444e-02,1.404071482903282e-05,1.207667585433873e-11
430081,1.539810000000000e-05,4.611244444444436e-06,4.238130036666667e-02,1.404071482903282e-05,1.207667585433873e-11
434177,1.539810000000000e-05,4.579944444444442e-06,4.247362617777778e-02,1.404071482903282e-05,1.207667585433873e-11
438273,1.539810000000000e-05,4.752855555555544e-06,4.256603271111111e-02,1.404071482903282e-05,1.207667585433873e-11
442369,1.539810000000000e-05,4.630811111111112e-06,4.265947340000000e-02,1.404071482903282e-05,1.207667585433873e-11
446465,1.539810000000000e-05,4.683277777777785e-06,4.275224173333333e-02,1.404071482903282e-05,1.207667585433873e-11
450561,1.539810000000000e-05,5.010499999999989e-06,4.284421895555555e-02,1.404071482903282e-05,1.207667585433873e-11
454657,1.539810000000000e-05,4.725933333333342e-06,4.293585325555556e-02,1.404071482903282e-05,1.207667585433873e-11
458753,1.539810000000000e-05,5.220733333333343e-06,4.302882787777778e-02,1.404071482903282e-05,1.207667585433873e-11
462849,1.539810000000000e-05,4.618944444444446e-06,4.312258377777778e-02,1.404071482903282e-05,1.207667585433873e-11
466945,1.539810000000000e-05,4.914844444444452e-06,4.321521694444444e-02,1.404071482903282e-05,1.207667585433873e-11
471041,1.539810000000000e-05,4.553500000000017e-06,4.330769882222222e-02,1.404071482903282e-05,1.207667585433873e-11
475137,1.539810000000000e-05,5.085733333333345e-06,4.340196954444445e-02,1.404071482903282e-05,1.207667585433873e-11
479233,1.539810000000000e-05,4.700466666666660e-06,4.349578222222222e-02,1.404071482903282e-05,1.207667585433873e-11
483329,1.539810000000000e-05,4.905311111111111e-06,4.358867310000000e-02,1.404071482903282e-05,1.207667585433873e-11
487425,1.539810000000000e-05,4.701533333333329e-06,4.368180125555556e-02,1.404071482903282e-05,1.207667585433873e-11
491521,1.539810000000000e-05,4.854299999999999e-06,4.377673066666667e-02,1.404071482903282e-05,1.207667585433873e-11
495617,1.539810000000000e-05,4.680588888888895e-06,4.386914577777778e-02,1.404071482903282e-05,1.207667585433873e-11
499713,1.539810000000000e-05,4.759722222222212e-06,4.396329283333333e-02,1.404071482903282e-05,1.207667585433873e-11
503809,1.539810000000000e-05,4.661877777777779e-06,4.405829739999999e-02,1.404071482903282e-05,1.207667585433873e-11
507905,1.539810000000000e-05,4.661333333333322e-06,4.415233223333333e-02,1.404071482903282e-05,1.207667585433873e-11
512001,1.539810000000000e-05,4.820911111111129e-06,4.424586942222222e-02,1.404071482903282e-05,1.207667585433873e-11
